# Generated: 2026-09-26T20:44:29.365285

📡卫视频道,#genre#
RT Documentary,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
RT Français,https://rt-fra.rttv.com/dvr/rtfrance/playlist_4500Kb.m3u8
Siping TV,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
Supreme Master TV,https://lbs-us1.suprememastertv.com/720p.m3u8
TV BRICS Chinese,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
Trace Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
VOA美国之音,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
VoA TV China,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
WionNews,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
Xinjiang TV 2,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
Xinjiang TV 3,http://218.84.35.38:3000/m3u8/live/tctv-2/index.m3u8
Zhejiang TV International,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
人与自然,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
伊犁经济法制,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
哈尔滨都市咨询,http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
奎屯汉语,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd
春晚2025,https://res.cctvnews.cctv.com/video/3005/record/cctv/merge1/133396667284143308839013005/8fbd6180bdef4da19f6155cf6b4652e1-4.m3u8
武汉一台新闻综合,https://ls.qingting.fm/live/20198/64k.m3u8
江津新闻,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
江津经济生活,http://222.179.155.21:1935/ch0.m3u8
熊猫直,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
福州广电视台新闻综合频道,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
福州广电视台都市生活频道,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
绍兴电视台公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
经典电影,https://txmov2.a.kwimgs.com/bs3/video-hls/5211790793651941963_hlsb.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
镇江二套社会民生,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
韩国EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
音乐欣赏,http://61.221.215.25:8800/hls/49/index.m3u8
黄果树六角亭瀑布,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

☘️海南频道,#genre#
海南新闻,http://ls.qingting.fm/live/1861.m3u8

☘️山西频道,#genre#
太谷新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

☘️黑龙江频道,#genre#
黑龙江新闻,https://ls.qingting.fm/live/4974/64k.m3u8
黑龙江少儿,https://ls.qingting.fm/live/4972/64k.m3u8
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
哈尔滨资讯,http://stream.hrbtv.net/zxpd/sd/live.m3u8
哈尔滨都市资讯,http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8?zheild
甘南县综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
七台河新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

☘️山东频道,#genre#
山东教育,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

☘️四川频道,#genre#
广元综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
朝天综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
青川综合,http://qcfile.qcrmt.com/nmip-media/channellive/channel100933/playlist.m3u8
剑阁综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
井研综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
名山综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
乐至综合,http://175.155.106.72:89/live1/live1.m3u8?zsicd

☘️北京频道,#genre#
北京新闻,https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8

☘️吉林频道,#genre#
九台综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
农安新闻综合 [Geo-blocked],https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
靖宇综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
白城新闻综合 [Geo-blocked],https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

☘️湖南频道,#genre#
长沙新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
衡阳新闻综合,https://liveplay-srs.voc.com.cn/hls/tv/183_554704.m3u8

☘️重庆频道,#genre#
铜梁综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
荣昌综合 [Not 24/7],https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

🌊港·澳·台,#genre#
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
TVB Plus,http://r.jdshipin.com/Nr5jq
翡翠台,http://r.jdshipin.com/GeWKr

☘️新疆频道,#genre#
伊犁维吾尔,http://110.153.180.106:55555/out_2/index.m3u8

☘️福建频道,#genre#
三明新闻综合,https://ls.qingting.fm/live/5022100/64k.m3u8
晋江电视台,http://stream.jinjiang.tv/1/sd/live.m3u8?zfud
云霄综合,https://live.zzyxxw.com:2443/live/xwzh.m3u8

☘️广东频道,#genre#
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=439b0fd2cf766b363c93a59cbcbe1370&txTime=18d00acf488
广州竞赛,http://8.138.7.223/tv/gzjs.m3u8
南国都市,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

☘️浙江频道,#genre#
浙江钱江都市,http://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
上虞新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
余杭综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
余杭未来E,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
苍南新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
永嘉新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
海宁新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
云和新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
缙云新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
缙云综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
浙江 Ⅰ 绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
浙江遂昌,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

☘️江苏频道,#genre#
靖江新闻综合,http://ls.qingting.fm/live/23797.m3u8

☘️河北频道,#genre#
河北经济,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
河北都市,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
河北影视,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
河北少儿,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
河北公共,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
河北农民,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
邯郸科技教育,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
邢台综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
衡水公共,http://ls.qingting.fm/live/2810.m3u8
河北,https://event.pull.hebtv.com:443/live/live101.m3u8

☘️甘肃频道,#genre#
甘肃都市,https://satellitepull.cnr.cn/live/wxgsdstb/playlist.m3u8

📺央视频道,#genre#
CCTV-1,http://45.192.97.170:8880/play/1.m3u8
CCTV-3,http://69.30.245.50/live/cctv3.m3u8
CCTV-4,http://69.30.245.50/live/cctv4.m3u8
CCTV-5,http://45.192.97.170:8880/play/6.m3u8
CCTV-7,http://69.30.245.50/live/cctv7.m3u8
CCTV-8,http://69.30.245.50/live/cctv8.m3u8
CCTV-9,http://69.30.245.50/live/cctv9.m3u8
CCTV-10,http://69.30.245.50/live/cctv10.m3u8
CCTV-11,http://45.192.97.170:8880/play/12.m3u8
CCTV-12,http://45.192.97.170:8880/play/13.m3u8
CCTV-13,http://45.192.97.170:8880/play/14.m3u8
CCTV-14,http://45.192.97.170:8880/play/15.m3u8
CCTV-15,http://45.192.97.170:8880/play/16.m3u8
CCTV-17,http://45.192.97.170:8880/play/17.m3u8
CCTV-4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1790488800-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-949decf05cbd944054954b793ac3ca42&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN Global Biz,https://fastlive.cctvplus.com/out/v1/2b3d8a0c805d437f9dc85b764c2ac599/index.m3u8
CGTN Spanish,http://45.186.106.147:8880/play/a06f/index.m3u8
CGTN-Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN阿语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8

☘️陕西频道,#genre#
陕西公共,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8

☘️青海频道,#genre#
西宁新闻综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8

☘️广西频道,#genre#
灌阳新闻综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8

☘️湖北频道,#genre#
江夏新闻综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8

☘️安徽频道,#genre#
固镇新闻,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
黄山新闻综合,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
祁门综合,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
六安公共,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
亳州农村,http://zbbf2.ahbztv.com/live/418.m3u8
